id,created_at,text
494539756793888768,2014-07-30 17:47:20,RT @arabella_ya: @pikettybot although I do think inheritance records in India would give that statement a run for its money
494539498831618050,2014-07-30 17:46:19,RT @desertnaut: Cory @doctorow offers a nice &amp; educated summary of #Piketty's Capital @BoingBoing http://t.co/ZuEDfgTIwt @PikettyCapital @p…
492378530538586112,2014-07-24 18:39:24,An Idiot’s Guide to Inequality - http://t.co/F9xDS53kYz http://t.co/bwxiF1wLtM
488025706409234432,2014-07-12 18:22:50,RT @nwr: A wealth management for the 99%? http://t.co/kCiSvqQcB5
486231006895022081,2014-07-07 19:31:20,RT @mrsultan713: Factual response to FT’s fact checking by Thomas Piketty | vox http://t.co/FDbNcwYI4g v @pikettybot @PikettyCapital
486211216923045891,2014-07-07 18:12:42,The god that sucked: How the Tea Party right just makes the 1 percent richer http://t.co/rJXnUo5aPn via @Salon
485683089591394304,2014-07-06 07:14:06,Have you heard ‘Destroy You Destroy Me EP’ by Mark Reveley on #SoundCloud? https://t.co/sXchFiOSDj
484075577775628289,2014-07-01 20:46:26,The world’s 15th-richest man says inequality is keeping him awake at night http://t.co/dbFioxffie via @qz
483059963645140993,2014-06-29 01:30:44,RT @LaylaReiter: Le meilleur livre d'éco que j'ai lu jusque-là . #eco #piketty @ThomasPiketty @pikettybot http://t.co/Gg724Xsbpg
478568051365789697,2014-06-16 16:01:29,"RT @factbot1 ""#67477 Oprah Winfrey invented a special diaper for Pumas that has a pocket http://t.co/vF8FHw6nZc"""
478432621178155008,2014-06-16 07:03:20,"RT @factbot1 ""#68825 Ants have a type of neck on their shin! http://t.co/mZImG1Pfy5"""
477192622767738880,2014-06-12 20:56:01,"RT @Salon: Elon Musk gives up patents on Tesla's technology -- and, no, he's not insane  http://t.co/kL8Hh3Bff6"
475006426310385665,2014-06-06 20:08:51,RT @al_federber: @pikettybot @GhostProf  Oh the simplicity of it all The general will decrees the rich will be eaten without indigestion in…
474353389417926656,2014-06-05 00:53:55,"Dish Network, my man. You rocked it, Charles Ergen, in Denver, Colorado. You have $12.5 billion! #piketty #pockets"
474352330817556480,2014-06-05 00:49:43,No doubt the settler society of the early nineteenth century was more mobile.
474351273966198784,2014-06-05 00:45:31,"RT @DiarioTalCual: ¿CUÁL ES EL INGRESO? El Capital en el Siglo XXI, de Thomas Piketty, causa conmoción mundial http://t.co/ECa72NgDm8"
474350214350782464,2014-06-05 00:41:18,It therefore follows that each member of this group owns on average 6 times the average wealth of the society in question.
474347040407691264,2014-06-05 00:28:42,@pikettybot You mean the James Leprino worth $3 billion? #piketty #pockets
474345980670640128,2014-06-05 00:24:29,"Hedge Funds, my man. You rocked it, Daniel Och, in Scarsdale, New York. You have $3.2 billion! #piketty #pockets"
474343864216465409,2014-06-05 00:16:04,"Netscape, my man. You rocked it, James Clark, in Palm Beach, Florida. You have $1.4 billion! #piketty #pockets"
474342807402864640,2014-06-05 00:11:52,"RT @euroeuropa: @josep_iserte @ericcatalunya @Juanal_47 @Hugdepayen @sabate60 @Josep_Huguet @alfonslopeztena He trobat""Manifest-Reflexions …"
474340689233190912,2014-06-05 00:03:27,Sources and series: see http://t.co/mUjqnFNaWt.
474337515579510784,2014-06-04 23:50:51,RT @klkolz: WATCH: Thomas Piketty and Elizabeth Warren Discuss Why the Rich Get Richer and the Rest Get Shafted | Alternet http://t.co/36cZ…
474336457155301376,2014-06-04 23:46:38,@CoinHodor You mean the Sean Parker worth $2 billion? #piketty #pockets
474335397133037568,2014-06-04 23:42:26,"James Leprino, in Indian Hills, Colorado has $3 billion! (mostly from the cheese gig). #piketty #pockets"
474332221847785472,2014-06-04 23:29:49,FIGURE 4.4.
474330107666890752,2014-06-04 23:21:24,@HedgeyeENERGY You mean the Ray Dalio worth $12.9 billion? #piketty #pockets
474329046826762243,2014-06-04 23:17:12,"From the standpoint of the general interest, it is normally preferable to tax the wealthy rather than borrow from them."
474326929638572032,2014-06-04 23:08:47,"For the reasons discussed above, this could give rise to serious tensions, signs of which are already visible."
474325870736207873,2014-06-04 23:04:34,"Let's hear it for Leslie Wexner, in New Albany, Ohio, who has $5.7 billion (mostly from retail). #piketty #pockets"
473527140609036289,2014-06-02 18:10:42,"For all these generations, success through work was more profitable and not just more moral."
473526775931080704,2014-06-02 18:09:15,@SpringbrookNY You mean the Tom Golisano worth $1.9 billion? #piketty #pockets
473526043186196480,2014-06-02 18:06:21,"Medical Equipment, my man. You rocked it, Pat Stryker, in Fort Collins, Colorado. You have $1.7 billion! #piketty #pockets"
473524947898216449,2014-06-02 18:01:59,"RT @philadev: Piketty’s ‘errors’ aren’t mistakes: They’re questions, and he answered them http://t.co/6yEGI8ND6X"
472874050264367104,2014-05-31 22:55:33,"The theory does, however, suggest interesting and important clues for explaining certain historical evolutions."
472870359507554305,2014-05-31 22:40:53,Great Britain: Public Debt and the Reinforcement of Private Capital  I begin with the British case.
472866668545196032,2014-05-31 22:26:13,"Nevertheless, the limitations and weaknesses of the data should be noted immediately."
472865438636863488,2014-05-31 22:21:20,Hence there was no need for a progressive and confiscatory tax.
472861749784231936,2014-05-31 22:06:41,"RT @DiogoLaranjeira: Quando a revista do @Publico escreveu que o livro de Piketty passou quase despercebido em Portugal, claramente lembrou…"
472859287102844928,2014-05-31 21:56:54,"Instead, I will adopt the very long-run perspective and assume that cohort size is stable."
